title,category,summary,url
AI Fluency: Framework & Foundations,AI_Learning_Platform,"Learn to collaborate with AI systems effectively, efficiently, ethically, and safely",https://anthropic.skilljar.com/ai-fluency-framework-foundations
Agentic AI,AI_Learning_Platform,"In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows.",https://learn.deeplearning.ai/courses/agentic-ai/lesson/pu5xbv/welcome
Building with the Claude API,AI_Learning_Platform,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API,https://anthropic.skilljar.com/claude-with-the-anthropic-api
ChatGPT Prompt Engineering for Developers,AI_Learning_Platform,"Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ...",https://learn.deeplearning.ai/courses/chatgpt-prompt-eng/lesson/zi9lz/guidelines
Claude Code: A Highly Agentic Coding Assistant,AI_Learning_Platform,"Explore, build, and refine codebases with Claude Code.",https://www.deeplearning.ai/short-courses/claude-code-a-highly-agentic-coding-assistant
Generative AI for Software Development,AI_Learning_Platform,"Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code.",https://www.deeplearning.ai/courses/generative-ai-for-software-development
Machine Learning Specialization,AI_Learning_Platform,"New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today",http://www.deeplearning.ai/courses/machine-learning-specialization
Neural Networks: Zero To Hero,AI_Learning_Platform,No summary found,https://karpathy.ai/zero-to-hero.html
Reinforcement Fine-Tuning LLMs with GRPO,AI_Learning_Platform,Improve LLM reasoning with reinforcement fine-tuning and reward functions.,http://www.deeplearning.ai/short-courses/reinforcement-fine-tuning-llms-grpo
The Episode Archive,Article,Get access to our past episodes. Your level of membership determines how many episodes you can pull from the archive per day.,https://journalclub.io/episodes
AI Engineering: Building Applications with Foundation Models,Book,"AI Engineering: Building Applications with Foundation Models [Huyen, Chip] on Amazon.com. *FREE* shipping on qualifying offers. AI Engineering: Bui...",http://www.amazon.com/dp/1098166302
Designing Machine Learning Systems,Book,Machine learning systems are both complex and unique. Complex because they consist of many different components and involve many different stakehol...,http://www.oreilly.com/library/view/designing-machine-learning/9781098107956
Grokking Machine Learning - Luis G. Serrano,Book,"Apply ML to your projects using just high-school math. With easy-to-follow Python-based exercises, this book sets you on the path to becoming a mac...",https://www.manning.com/books/grokking-machine-learning
Hands-On Large Language Models,Book,"AI has acquired startling new language capabilities in just the past few years. Driven by rapid advances in deep learning, language AI systems are ...",https://www.oreilly.com/library/view/hands-on-large-language/9781098150952
LLMs in Production: From language models to successful products,Book,"LLMs in Production: From language models to successful products [Brousseau, Christopher, Sharp, Matt] on Amazon.com. *FREE* shipping on qualifying ...",http://www.amazon.com/LLMs-Production-language-successful-products/dp/1633437205
courses/prompt_engineering_interactive_tutorial/Anthropic 1P/00_Tutorial_How-To.ipynb at master · anthropics/courses,Code_Repository,Anthropic's educational courses. Contribute to anthropics/courses development by creating an account on GitHub.,https://github.com/anthropics/courses/blob/master/prompt_engineering_interactive_tutorial/Anthropic%201P/00_Tutorial_How-To.ipynb
Agentic AI MOOC,Course,"MOOC, Fall 2025",https://agenticai-learning.org/f25
Computer Science for Artificial Intelligence Professional Certificate,Course,Learn programming fundamentals and how to use machine learning in Python.,https://www.edx.org/certificates/professional-certificate/harvardx-computer-science-for-artifical-intelligence
Introduction to Generative AI Learning Path,Course,Offered by Google Cloud.  Enroll for free.,https://www.coursera.org/specializations/introduction-to-generative-ai
Llm Engineering Master Ai And Large Language Models (Udemy Course),Course,Udemy course: Llm Engineering Master Ai And Large Language Models. Access blocked - please visit URL to see full details.,https://www.udemy.com/course/llm-engineering-master-ai-and-large-language-models
Retrieval Augmented Generation (RAG),Course,Offered by DeepLearning.AI. Retrieval Augmented Generation (RAG) improves large language model (LLM) responses by retrieving relevant data ... Enro...,http://www.coursera.org/learn/retrieval-augmented-generation-rag
The Ai Engineer Course Complete Ai Engineer Bootcamp (Udemy Course),Course,Udemy course: The Ai Engineer Course Complete Ai Engineer Bootcamp. Access blocked - please visit URL to see full details.,https://www.udemy.com/course/the-ai-engineer-course-complete-ai-engineer-bootcamp
The Complete Agentic Ai Engineering Course (Udemy Course),Course,Udemy course: The Complete Agentic Ai Engineering Course. Access blocked - please visit URL to see full details.,http://www.udemy.com/course/the-complete-agentic-ai-engineering-course
Machine Learning,Documentation,"These modules cover the fundamentals of building regression and classification
   models.",https://developers.google.com/machine-learning/crash-course
#ai-for-dev-productivity,Slack_Channel,Slack channel: #ai-for-dev-productivity,N/A
"AI Dev 25: Code, learn, connect.",Video,"Wow—what a day! AI Dev 25, celebrated during Pi Day, was an incredible gathering of developers and innovators, and we’re grateful you were part of ...",https://youtube.com/playlist?list=PLkDaE6sCZn6EYD2iP6x7c3zSbJXi0_jZT&si=tT7PkHTzBTMBqP5L
Deep Dive into LLMs like ChatGPT,Video,This is a general audience deep dive into the Large Language Model (LLM) AI technology that powers ChatGPT and related products. It is covers the f...,https://youtu.be/7xTGNNLPyMI?si=dm2ZuxnBymlg99kn
Lecture 1,Video,The AI course is entirely free.Live classes are held every Tuesday and Wednesday on Facebook and YouTube from 7:30 to 9:30 p.m.Recorded lectures wi...,http://www.youtube.com/watch?v=3tDE4hDaYgw&list=PLxf3-FrL8GzTIQpnY_UyzDX6JK0_Kbe_t
Neural networks,Video,"Learn the basics of neural networks and backpropagation, one of the most important algorithms for the modern world.",http://www.youtube.com/playlist?list=PLZHQObOWTQDNU6R1_67000Dx_ZCJB-3pi
