title,url,category,type,topic,summary,description,tags,score,score_reason,evidence
AI Agents in LangGraph,https://learn.deeplearning.ai/courses/ai-agents-in-langgraph/lesson/qyrpc/introduction,AI_Learning_Platform,Course,Agentic AI,Build agentic AI workflows using LangChain's LangGraph and Tavily's agentic search. AI Agents in LangGraph 4 mins,Build agentic AI workflows using LangChain's LangGraph and Tavily's agentic search. AI Agents in LangGraph 4 mins,"LangGraph, DeepLearning.AI, Agentic AI, Course, AI Learning Platform",4,Course on agentic ai; Build agentic AI workflows using LangChain's LangGraph and Tavily's agentic search.,Build agentic AI workflows using LangChain's LangGraph and Tavily's agentic search. | AI Agents in LangGraph
AI Fluency: Framework & Foundations,https://anthropic.skilljar.com/ai-fluency-framework-foundations,AI_Learning_Platform,Course,Prompt Engineering,"AI Fluency: Framework & Foundations Learn to collaborate with AI systems effectively, efficiently, ethically, and safely lectures hours of video Certificate of completion About this course At Anthropic, we believe that empowering people with AI, and ensuring that AI makes safe contributions to society, requires engaging with a wide range of human perspectives and experiences. Responsible AI development and engag","AI Fluency: Framework & Foundations Learn to collaborate with AI systems effectively, efficiently, ethically, and safely lectures hours of video Certificate of completion About this course At Anthropic, we believe that empowering people with AI, and ensuring that AI makes safe contributions to society, requires engaging with a wide range of human perspectives and experiences. Responsible AI development and engag — Learn to collaborate with AI systems effectively, efficiently, ethically, and safely; hours of video; At Anthropic, we believe that empowering people with AI, and ensuring that AI makes safe contributions to society, requires engaging with a wide range of human perspectives and experiences. Responsible AI development and engagement isn't something any single discipline or viewpoint can fully address. It demands collaborative approaches that span a wide range of technical, creative, business, scientific, and educational domains. That's why we partnered with educators who bring complementary expertise to create this foundational course on AI collaboration.; Our goal is to make AI Fluency accessible and useful to everyone, no matter what stage of AI expertise you find yourself at. We hope you find it valuable in navigating the evolving landscape of AI collaboration.","Anthropic, Skilljar, Prompt Engineering, Course, AI Learning Platform",5,"Course on prompt engineering; Learn to collaborate with AI systems effectively, efficiently, ethically, and safely; includes applied work","Learn to collaborate with AI systems effectively, efficiently, ethically, and safely | hours of video"
Agentic AI,https://learn.deeplearning.ai/courses/agentic-ai/lesson/pu5xbv/welcome,AI_Learning_Platform,Course,Agentic AI,"In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows.","In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows.","DeepLearning.AI, Agentic AI, Course, AI Learning Platform, AI Learning",4,"Course on agentic ai; In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows.","In this course taught by Andrew Ng, you'll build agentic AI systems that take action through iterative, multi-step workflows."
Building with the Claude API,https://anthropic.skilljar.com/claude-with-the-anthropic-api,AI_Learning_Platform,Course,AI Education,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API Claude with the Anthropic API This comprehensive course covers the full spectrum of working with Anthropic models using the Anthropic API,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API Claude with the Anthropic API This comprehensive course covers the full spectrum of working with Anthropic models using the Anthropic API,"Anthropic, Claude, Skilljar, AI Education, Course",4,Course on ai education; This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API,This comprehensive course covers the full spectrum of working with Anthropic models using the Claude API | Claude with the Anthropic API
ChatGPT Prompt Engineering for Developers,https://learn.deeplearning.ai/courses/chatgpt-prompt-eng/lesson/zi9lz/guidelines,AI_Learning_Platform,Course,Prompt Engineering,"Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ...","Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ...","DeepLearning.AI, Prompt Engineering, Course, AI Learning Platform, AI Learning",4,"Course on prompt engineering; Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ...","Learn the fundamentals of prompt engineering for ChatGPT. Learn effective prompting, and how to use LLMs for summarizing, inferring, transforming, ..."
Claude Code: A Highly Agentic Coding Assistant,https://www.deeplearning.ai/short-courses/claude-code-a-highly-agentic-coding-assistant,AI_Learning_Platform,Course,Agentic AI,"Explore, build, and refine codebases with Claude Code. Claude Code: A Highly Agentic Coding Assistant - DeepLearning.AI","Explore, build, and refine codebases with Claude Code. Claude Code: A Highly Agentic Coding Assistant - DeepLearning.AI","Claude, DeepLearning.AI, Agentic AI, Course, AI Learning Platform",4,"Course on agentic ai; Explore, build, and refine codebases with Claude Code.","Explore, build, and refine codebases with Claude Code. | Claude Code: A Highly Agentic Coding Assistant - DeepLearning.AI"
Generative AI for Software Development,https://www.deeplearning.ai/courses/generative-ai-for-software-development,AI_Learning_Platform,Course,Prompt Engineering,"Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code. Generative AI for Software Development - DeepLearning.AI","Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code. Generative AI for Software Development - DeepLearning.AI","DeepLearning.AI, Prompt Engineering, Course, AI Learning Platform, AI Learning",4,"Course on prompt engineering; Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code.","Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code. | Generative AI for Software Development - DeepLearning.AI"
MCP: Build Rich-Context AI Apps with Anthropic,https://learn.deeplearning.ai/courses/mcp-build-rich-context-ai-apps-with-anthropic,AI_Learning_Platform,Course,Prompt Engineering,"Build AI apps that access tools, data, and prompts using the Model Context Protocol.","Build AI apps that access tools, data, and prompts using the Model Context Protocol.","Anthropic, DeepLearning.AI, MCP, Prompt Engineering, Course",4,"Course on prompt engineering; Build AI apps that access tools, data, and prompts using the Model Context Protocol.","Build AI apps that access tools, data, and prompts using the Model Context Protocol."
Machine Learning Specialization,http://www.deeplearning.ai/courses/machine-learning-specialization,AI_Learning_Platform,Course,Machine Learning Foundations,"New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today Machine Learning Specialization - DeepLearning.AI","New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today Machine Learning Specialization - DeepLearning.AI","DeepLearning.AI, Machine Learning Foundations, Course, AI Learning Platform, AI Learning",5,"Course on machine learning foundations; New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today","New Machine Learning Specialization, an updated foundational program for beginners created by Andrew Ng | Start Your AI Career Today | Machine Learning Specialization - DeepLearning.AI"
Neural Networks: Zero To Hero,https://karpathy.ai/zero-to-hero.html,AI_Learning_Platform,Course Series,Deep Learning,"No summary found Neural Networks: Zero to Hero A course by Andrej Karpathy on building neural networks, from scratch, in code.","No summary found Neural Networks: Zero to Hero A course by Andrej Karpathy on building neural networks, from scratch, in code.","Karpathy, Deep Learning, Course Series, AI Learning Platform, AI Learning",4,Course Series on deep learning; No summary found,No summary found | Neural Networks: Zero to Hero
